                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.9005,                  2.116,                0.84049,                0.77667,                0.36921,                  0.419,                 0.1823,                 1.8061,                 1.8513,                 1.0471,             0.00096456,             0.00096456,             0.00096456
                     83,                 1.7119,                 1.7827,                0.88118,                0.66583,                0.36494,                0.38113,                0.15291,                 1.9011,                 1.7532,                 1.0652,             0.00096369,             0.00096369,             0.00096369
                     84,                 1.7495,                 1.9513,                0.85934,                0.67087,                0.37899,                 0.3924,                0.14056,                 1.8475,                 1.8627,                  1.049,             0.00096282,             0.00096282,             0.00096282
                     85,                 1.6334,                 1.7746,                0.80118,                0.73083,                0.38359,                0.46763,                0.21566,                 1.7271,                 1.8865,                 1.0196,             0.00096193,             0.00096193,             0.00096193
                     86,                    1.7,                 2.0514,                0.83168,                0.72157,                0.38625,                0.45059,                0.19804,                 1.8101,                 1.7544,                 1.0387,             0.00096103,             0.00096103,             0.00096103
                     87,                  1.756,                 1.7832,                0.83793,                0.66112,                0.38892,                0.42729,                0.17243,                 1.7965,                 1.8578,                 1.0307,             0.00096013,             0.00096013,             0.00096013
                     88,                 1.7493,                 2.0357,                0.84444,                0.69955,                0.38945,                0.42213,                0.18003,                 1.7542,                 1.7222,                 1.0267,             0.00095921,             0.00095921,             0.00095921
                     89,                  1.775,                  2.181,                0.89445,                0.62627,                0.36228,                0.40062,                0.16584,                 1.8443,                 1.8532,                 1.0395,             0.00095828,             0.00095828,             0.00095828
                     90,                 1.6968,                 2.1467,                0.80367,                0.81655,                0.28457,                0.43903,                0.17979,                 1.9509,                 2.7645,                 1.0552,             0.00095735,             0.00095735,             0.00095735
                     91,                  1.882,                 2.1546,                0.88925,                0.71719,                0.39957,                0.42602,                0.17808,                 1.8102,                 1.9237,                 1.0506,              0.0009564,              0.0009564,              0.0009564
                     92,                 1.6873,                 2.8265,                 0.8171,                 0.7557,                0.38572,                0.44099,                 0.1808,                 1.7789,                 1.9443,                 1.0237,             0.00095545,             0.00095545,             0.00095545
                     93,                 1.7413,                 1.9605,                 0.8423,                0.71406,                0.35695,                0.41073,                0.16871,                 1.7358,                 2.1036,                 1.0187,             0.00095448,             0.00095448,             0.00095448
                     94,                 1.6665,                 2.0949,                0.82284,                0.68679,                0.38359,                0.40313,                0.16035,                 1.8802,                 1.7735,                 1.0843,             0.00095351,             0.00095351,             0.00095351
                     95,                 1.7495,                 2.0143,                0.82787,                0.68472,                0.35638,                0.42812,                0.16658,                 2.0073,                 2.1188,                 1.1066,             0.00095252,             0.00095252,             0.00095252
                     96,                 1.6287,                 1.8212,                0.82385,                 0.7519,                  0.374,                0.43828,                0.17157,                 1.9035,                 1.8267,                 1.0731,             0.00095153,             0.00095153,             0.00095153
                     97,                 1.6475,                 2.0695,                0.82032,                0.67301,                0.36441,                0.44534,                0.19702,                  1.986,                 1.9614,                 1.0873,             0.00095052,             0.00095052,             0.00095052
                     98,                 1.7098,                 1.9586,                 0.8244,                0.61308,                0.36975,                0.41835,                0.18428,                 1.7897,                 1.9171,                 1.0461,             0.00094951,             0.00094951,             0.00094951
                     99,                 1.6874,                 1.8652,                0.80747,                0.69999,                0.38945,                0.45578,                0.20488,                 1.6711,                 1.7452,                 1.0268,             0.00094849,             0.00094849,             0.00094849
                    100,                 1.6211,                 1.6885,                0.82178,                0.72954,                0.38657,                0.45787,                0.19938,                 1.8414,                 1.8182,                 1.0586,             0.00094745,             0.00094745,             0.00094745
                    101,                 1.6889,                 1.8443,                0.87528,                0.74148,                0.39318,                0.41773,                0.15934,                 1.8474,                 1.7886,                 1.0433,             0.00094641,             0.00094641,             0.00094641
                    102,                 1.6367,                 1.9299,                0.82372,                0.74303,                0.36708,                0.40258,                0.16171,                 1.7973,                 1.9448,                 1.0349,             0.00094536,             0.00094536,             0.00094536
                    103,                 1.4985,                 1.9896,                0.73041,                0.68732,                0.38572,                 0.4316,                0.18555,                 1.9421,                  1.808,                 1.1093,              0.0009443,              0.0009443,              0.0009443
                    104,                 1.7549,                 2.1301,                0.91311,                0.71398,                0.37187,                 0.4454,                0.19446,                 1.8609,                 1.8517,                 1.0865,             0.00094323,             0.00094323,             0.00094323
                    105,                 1.5971,                 2.0858,                0.83402,                0.76283,                0.39105,                0.45568,                0.20508,                 1.8017,                 1.6682,                 1.0578,             0.00094215,             0.00094215,             0.00094215
                    106,                 1.7413,                 1.6683,                0.89675,                0.74819,                0.37675,                0.43123,                0.17515,                 1.8686,                 1.8556,                 1.0552,             0.00094106,             0.00094106,             0.00094106
                    107,                 1.6624,                 1.7993,                0.86188,                0.77031,                0.40381,                0.45326,                0.18884,                 1.7472,                 1.7605,                 1.0363,             0.00093996,             0.00093996,             0.00093996
                    108,                 1.5429,                 1.8771,                0.78447,                0.77697,                0.36867,                0.45115,                0.18195,                 1.7379,                 1.9588,                 1.0196,             0.00093885,             0.00093885,             0.00093885
                    109,                 1.5683,                 1.7478,                0.77692,                0.74846,                0.37294,                 0.4185,                 0.1827,                 1.7621,                 1.7603,                 1.0507,             0.00093773,             0.00093773,             0.00093773
                    110,                 1.7763,                 1.9562,                0.90404,                0.75578,                0.37507,                 0.4244,                0.19977,                 1.8262,                  1.992,                  1.071,              0.0009366,              0.0009366,              0.0009366
                    111,                 1.6336,                  1.646,                 0.8068,                0.75814,                0.40757,                0.43825,                0.18073,                 1.7486,                 1.6594,                 1.0478,             0.00093547,             0.00093547,             0.00093547
                    112,                 1.6772,                 1.7792,                0.88805,                0.72479,                0.39105,                0.44276,                 0.1765,                 1.7761,                 1.7494,                 1.0446,             0.00093432,             0.00093432,             0.00093432
                    113,                 1.6893,                 1.7047,                0.84041,                 0.7083,                0.41023,                0.44468,                0.19345,                 1.7064,                 1.6762,                 1.0255,             0.00093317,             0.00093317,             0.00093317
                    114,                 1.6043,                 1.6445,                0.82283,                0.70121,                0.38679,                0.43765,                0.19435,                 1.8747,                 1.7835,                 1.0498,               0.000932,               0.000932,               0.000932
                    115,                 1.5542,                 1.6513,                0.80652,                0.74557,                0.41076,                0.45218,                0.19039,                 1.6981,                 1.7112,                 1.0025,             0.00093083,             0.00093083,             0.00093083
                    116,                 1.6663,                 1.7608,                0.86439,                0.77477,                0.39957,                0.46743,                0.21004,                 1.6829,                 1.8188,                 1.0068,             0.00092965,             0.00092965,             0.00092965
                    117,                 1.6419,                 1.6534,                0.81426,                0.80667,                0.38998,                0.45657,                0.20036,                 1.7245,                 1.7239,                 1.0311,             0.00092846,             0.00092846,             0.00092846
                    118,                 1.6385,                 1.6677,                0.83454,                0.77739,                0.38679,                0.45877,                 0.2043,                 1.6937,                 1.7168,                 1.0204,             0.00092726,             0.00092726,             0.00092726
                    119,                  1.722,                 1.6852,                0.84808,                0.72254,                 0.3772,                0.44432,                0.20066,                 1.8711,                 1.8602,                 1.0651,             0.00092605,             0.00092605,             0.00092605
                    120,                 1.6532,                  1.685,                0.86634,                0.73995,                0.41082,                0.46382,                0.20912,                 1.8809,                 1.6929,                 1.0858,             0.00092483,             0.00092483,             0.00092483
                    121,                 1.6207,                 1.6656,                0.81442,                0.80685,                0.40277,                0.48569,                0.23242,                 1.7862,                 1.7248,                 1.0524,             0.00092361,             0.00092361,             0.00092361
                    122,                  1.626,                 1.8906,                0.82605,                0.78895,                0.39633,                0.46614,                0.22434,                  1.769,                 1.7535,                 1.0489,             0.00092237,             0.00092237,             0.00092237
                    123,                 1.6829,                 1.7552,                0.88696,                0.68384,                0.39296,                0.44728,                0.20233,                 1.9213,                 1.9515,                 1.0784,             0.00092113,             0.00092113,             0.00092113
                    124,                  1.561,                 1.5368,                 0.8336,                0.71204,                0.38732,                0.44264,                0.19597,                 1.7263,                  1.763,                 1.0203,             0.00091987,             0.00091987,             0.00091987
                    125,                 1.6318,                 1.7111,                0.84178,                0.73301,                0.39158,                0.46335,                 0.2066,                 1.6712,                 1.7324,                 1.0097,             0.00091861,             0.00091861,             0.00091861
                    126,                 1.5696,                 1.6486,                 0.7873,                0.72978,                0.39265,                0.45407,                 0.1929,                 1.7342,                 1.7377,                 1.0317,             0.00091734,             0.00091734,             0.00091734
                    127,                 1.5407,                 2.0147,                 0.8162,                0.72731,                0.39798,                0.44529,                0.18935,                 1.7647,                 1.7474,                 1.0499,             0.00091606,             0.00091606,             0.00091606
                    128,                 1.5805,                 1.6929,                0.77984,                0.70938,                0.36281,                0.44112,                0.19651,                 1.9899,                 2.1208,                 1.0828,             0.00091477,             0.00091477,             0.00091477
                    129,                 1.7441,                 1.5339,                0.85011,                 0.7312,                0.41023,                 0.4466,                0.18579,                 1.8167,                 1.7009,                 1.0459,             0.00091348,             0.00091348,             0.00091348
                    130,                 1.5272,                 1.7651,                0.76513,                0.76059,                0.38146,                0.46867,                0.20076,                 1.8357,                 1.8874,                  1.036,             0.00091217,             0.00091217,             0.00091217
                    131,                 1.6587,                 1.7601,                0.82224,                0.80695,                0.41396,                0.46974,                0.19741,                 1.6704,                 1.5848,                 1.0154,             0.00091086,             0.00091086,             0.00091086
                    132,                 1.6745,                 2.6636,                0.80653,                0.71379,                0.39851,                 0.4212,                 0.1586,                 1.9069,                 1.6947,                 1.0437,             0.00090954,             0.00090954,             0.00090954
