                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                  1.518,                 1.3119,                0.80294,                0.76887,                0.41827,                0.47171,                0.21761,                 1.5919,                 1.6351,                0.97378,             0.00079636,             0.00079636,             0.00079636
                    103,                 1.4076,                 1.3003,                0.72658,                0.80588,                0.40255,                0.46237,                0.20683,                 1.7132,                 1.8204,                 1.0241,              0.0007927,              0.0007927,              0.0007927
                    104,                 1.6038,                 1.4787,                0.86753,                0.77858,                0.42355,                0.46953,                0.20864,                 1.6761,                 1.6941,                0.99422,             0.00078902,             0.00078902,             0.00078902
                    105,                 1.4958,                 1.5732,                0.80463,                0.78162,                0.42142,                0.47332,                0.22098,                 1.6259,                 1.6423,                0.98469,             0.00078532,             0.00078532,             0.00078532
                    106,                  1.561,                 1.2087,                0.85909,                0.78931,                0.42195,                0.48324,                0.22489,                 1.6266,                 1.5463,                0.99864,              0.0007816,              0.0007816,              0.0007816
                    107,                 1.5113,                 1.2468,                0.83592,                0.79163,                0.41396,                0.46952,                0.20749,                 1.6876,                 1.5778,                 1.0051,             0.00077785,             0.00077785,             0.00077785
                    108,                  1.437,                  1.226,                0.77218,                0.76619,                0.42088,                0.48462,                0.22851,                 1.6296,                 1.5755,                0.98718,             0.00077409,             0.00077409,             0.00077409
                    109,                 1.5169,                  1.632,                0.78875,                0.78727,                0.41076,                0.47518,                0.21784,                 1.6103,                 1.6065,                0.97688,             0.00077031,             0.00077031,             0.00077031
                    110,                 1.6075,                 1.3448,                0.87561,                 0.7716,                 0.4081,                0.45911,                0.21084,                 1.7344,                 1.8326,                 1.0235,             0.00076651,             0.00076651,             0.00076651
                    111,                 1.4542,                 1.1644,                0.78596,                0.80219,                0.42131,                0.46676,                 0.2048,                 1.6576,                  1.691,                0.99167,             0.00076269,             0.00076269,             0.00076269
                    112,                  1.587,                 1.2596,                 0.8737,                0.77682,                0.42408,                0.46957,                0.21483,                 1.6618,                 1.5958,                 1.0024,             0.00075886,             0.00075886,             0.00075886
                    113,                 1.5596,                 1.2059,                 0.8225,                0.79221,                0.41437,                0.47737,                0.22757,                  1.576,                 1.6636,                0.97188,             0.00075501,             0.00075501,             0.00075501
                    114,                 1.5202,                  1.251,                0.81453,                0.78883,                0.41023,                0.47412,                0.21728,                 1.6527,                 1.6605,                0.98086,             0.00075114,             0.00075114,             0.00075114
                    115,                  1.397,                 1.2416,                0.76783,                0.78939,                0.41929,                0.49523,                0.23013,                 1.6287,                 1.5629,                0.98506,             0.00074725,             0.00074725,             0.00074725
                    116,                 1.4799,                 1.4563,                0.83137,                0.81775,                0.42142,                0.48711,                0.21564,                 1.6299,                 1.5652,                0.97738,             0.00074335,             0.00074335,             0.00074335
                    117,                  1.504,                 1.3614,                0.82137,                0.80588,                0.41502,                0.46188,                0.19256,                 1.6967,                 1.6848,                0.99238,             0.00073943,             0.00073943,             0.00073943
                    118,                  1.486,                 1.2228,                0.82002,                0.76351,                0.42485,                0.46989,                0.21016,                 1.6633,                 1.6694,                0.99521,              0.0007355,              0.0007355,              0.0007355
                    119,                 1.5707,                 1.4258,                0.83249,                  0.781,                0.41929,                0.48314,                0.22344,                 1.5986,                 1.5589,                0.97639,             0.00073155,             0.00073155,             0.00073155
                    120,                 1.5466,                 1.4735,                0.84788,                0.81286,                0.41716,                0.49323,                0.22196,                 1.6228,                   1.53,                0.99585,             0.00072758,             0.00072758,             0.00072758
                    121,                 1.4602,                 1.3296,                0.78469,                0.78494,                0.42973,                0.50305,                0.23101,                 1.6188,                 1.5924,                0.97314,             0.00072361,             0.00072361,             0.00072361
